ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí
,simple,,"Hagen Catit illuminated 2 Light Ball , Bộ 2 bóng phát sáng",1,0,visible,"												<p>Dùng cho các sản phẩm đồ chơi Hagen Catit</p></br>
<p>Hoặc dùng cho mèo lăn trực tiếp dưới đất</p></br>
<p>Gõ chốt trên bóng để kích hoạt đèn, gắn chốt để tắt đèn, hoặc đèn tự động tắt khi bóng đnứg yên sau thời gian nhất định</p></br>
<p>Sản phẩm của Hagen Catit, Canada</p></br>											",,,,taxable,,1,,0,0,,,,,1,,,195000,Mèo > MÈO | Đồ chơi - Toys,,,http://bizweb.dktcdn.net/100/092/797/products/catit-design-senses-illuminated-ball-4.jpg,,,,,,,,Mua ngay!,0
,simple,,Đồ chơi mèo 2 banh chuột lò xo,1,0,visible,"																							","<p style=""text-align: center;""><img data-thumb=""original"" original-height=""1078"" original-width=""790"" src=""//bizweb.dktcdn.net/100/092/797/files/tb2mbi-xamgskjjssplxxaicpxa-3165208453-1.jpg?v=1516091985481"" /></p></br>",,,taxable,,1,,0,0,,,,,1,,,170000,Mèo > MÈO | Đồ chơi - Toys,,,http://bizweb.dktcdn.net/100/092/797/products/tb2zwmadwoqmejjy0foxxcshvxa-3165208453.jpg,,,,,,,,Mua ngay!,0
,simple,,Cần câu chuồn chuồn không dây,1,0,visible,"																							",,,,taxable,,1,,0,0,,,,,1,,,45000,Mèo > MÈO | Đồ chơi - Toys,,,http://bizweb.dktcdn.net/100/092/797/products/ko-day-1.jpg,,,,,,,,Mua ngay!,0
,simple,,Cần câu chuồn chuồn có dây,1,0,visible,"																							",,,,taxable,,1,,0,0,,,,,1,,,45000,Mèo > MÈO | Đồ chơi - Toys,,,http://bizweb.dktcdn.net/100/092/797/products/3968042803-1286863787.jpg,,,,,,,,Mua ngay!,0
,simple,,Cat amusing toy đồ chơi vận động cho mèo,1,0,visible,"																							",,,,taxable,,1,,0,0,,,,,1,,,260000,Mèo > MÈO | Đồ chơi - Toys,,,http://bizweb.dktcdn.net/100/092/797/products/tb2y-zxk8dh8kjjy1zexxxjepxa-1772853800-jpg-400x400.jpg,,,,,,,,Mua ngay!,0
,simple,,Hagen Catit Senses 2.0 Grass Planter Khay trồng cỏ mèo,1,0,visible,"												<p>Dụng cụ trồng cỏ cho mèo ăn tránh mèo lấy cỏ quá sát hoặc gây vương vãi đất ra sàn</p></br>
<p>Sản phẩm của Hagen Catit, Canada</p></br>
<p>Không kèm hạt giống (no seeds included)</p></br>											","<h1>Senses 2.0 Grass Planter</h1></br>
<ul>
<li>Thiết kế đặc biệt giúp dụng cụ đứng vững chắc và ngăn chặn bị đổ</li>
<li>Giúp mèo chỉ có thể lấy cỏ từ phía trên và giúp cỏ có thể tự phát triển tiếp được</li>
<li>Là dụng cụ thay thế cho các chậu trồng truyền thống dễ gây đổ, bể hoặc vương vãi đất ra sàn</li>
<li>Được làm bằng chất liệu nhựa BPA-free an toàn</li>
<li>Sử dụng trồng với <a href=""https://petthings.vn/co-me-o-catnip-cat-grass?aelang=vi"">hạt giống cỏ</a> (mua riêng)</li></ul>
<p style=""text-align: center;""><iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/UdGvRXn6Yiw"" width=""100%""></iframe></p></br>
<h1>Senses 2.0 Grass Planter</h1></br>
<p> </p></br>
<p><strong>Improved design for better growing results</strong></p></br>
<ul>
<li>Low and stable design with special grid cover to prevent knock-overs and digging</li>
<li>Cat Grass stimulates a cat’s digestion and helps prevent hairball build-up</li>
<li>Healthy alternative to houseplants, which are often toxic</li>
<li>Made of BPA-Free Materials</li>
<li>For use with <a href=""https://petthings.vn/co-me-o-catnip-cat-grass?aelang=vi"">cat grass seeds</a></li></ul>
<p> <strong>Grow your own, fresh cat grass!</strong></p></br>
<h2>Stable design</h2></br>
<p>Unlike other pots, the Catit Senses 2.0 Grass Planter is difficult to knock over due to its low and stable design.</p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""1255"" original-width=""2510"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/grass-planter-stable-design.jpg?v=1507637069670"" /></p></br>
<h2>Improved design for better results</h2></br>
<p>The new and improved Grass Planter features a deeper bowl that is capable of holding the perfect amount of vermiculite. It also features added drainage holes to help prevent overwatering.</p></br>
